姓名,生日,aka,性別,職業,婚姻狀態
顏行書,1976-09-08,None,None,None,0
王少偉,1976-12-18,少爺,M,男艺人,0
張佑天,1979-08-22,祝釩剛,M,男歌手,0
陳建騏,1973-02-03,None,None,幕后,0
陳珊妮,1970-07-19,公主、珊妮老師,F,女歌手,0
郭彥甫,1981-12-31,None,M,男艺人,1
林韋伶,1980-02-01,陳垣妧,F,女艺人,1
周幼婷,1977-06-10,None,F,女演员,1
郭婷婷,1978-11-04,渟渟,F,女艺人,0
孫沁岳,1986-07-15,冷笑話王子,M,男演员,0
言明澔,1986-04-04,簡宏霖,M,男艺人,0
李迪恩,1991-09-04,None,M,男演员,0
張洛偍,1992-07-25,張珞褆,M,男演员,0
黃小柔,1981-10-13,滷蛋,F,女艺人,1
楊丞琳,1984-06-04,水母、老楊、可愛教主、全能天后、丞哥、琳妹,F,女艺人,1
張棋惠,1984-06-05,張藝慧→張棋惠,F,女艺人,1
孫協志,1978-02-20,鞋子、孫三藏、后羿孫、后羿的後裔,M,男艺人,2
王仁甫,1980-08-28,FF、甫甫、過關機器、心機甫、歪道甫,M,男歌手,1
許孟哲,1985-07-27,小飛象，5%公、萌哲,M,男艺人,1
大S,1976-10-06,徐熙媛,F,女艺人,3
小S,1978-06-14,徐熙娣,F,女艺人,1
Lucia,1996-02-26,陳盈燕,F,女艺人,0
焦安溥,1981-05-30,焦安溥,F,女歌手,2
沈建宏,1992-11-09,Kris .K（크리스 케이）,M,男歌手,0
白吉勝,1979-08-02,阿Ben,M,男歌手,1
黃柏文,1978-07-09,黃丹尼,M,男歌手,1
郭源元,1988-10-10,阿源,F,女艺人,0
宋蘋恩,1993-09-26,殷苡娟,F,女艺人,0
書那娜,1994-01-12,羅喬恩,F,女艺人,0
廖人帥,1983-11-13,None,None,导演,0
黃尹宣,1983-12-20,EASON,M,男艺人,0
林柏昇,1984-02-21,瘋面仔、野人,M,男艺人,1
高爾宣,1997-06-14,None,M,男歌手,0
婁峻碩,1993-09-14,查個毛狼王子皮蛋邪惡南瓜婁小毛聖誕南瓜,M,男艺人,0
R,1988-07-13,洪乙玲,F,女歌手,0
楊梓鑫,1996-11-15,三金、小王子、幫主、快乐病毒,M,男歌手,0
簡廷芮,1992-03-09,Dewi、普普、美尻女神,F,女艺人,1
安婕希,1992-01-18,陳奕安,None,歌手,0
李毓芬,1985-05-11,阿芬、阿昏、芬芬、芬老大,F,女艺人,0
郭雪芙,1988-06-30,阿芙,F,女艺人,0
宋米秦,1983-03-23,宋米秦,F,女艺人,1
吳汶芳,1990-03-23,天籟美聲、花仙子、純質女聲,F,女歌手,0
謝震廷,1993-10-10,謝震廷,M,男歌手,0
張書偉,1980-11-04,張書偉,M,男艺人,0
坤達,1982-03-18,謝坤達,M,男演员,1
唐振剛,1983-10-13,小剛,M,男演员,0
郭葦昀,1981-10-02,Toro,M,男艺人,0
夏語心,1986-01-02,呂毓凌,F,女艺人,0
林舒語,1990-05-29,林筱蓉,F,女艺人,1
詹雯婷,1981-08-27,"
Faye
飛兒
",F,女艺人,0
陳建寧,1971-10-28,None,None,制作人,1
黃漢青,1980-03-11,阿沁,M,男歌手,1
Lydia,1996-09-07,韓睿,F,女歌手,0
言承旭,1977-01-01,廖洋震,M,男艺人,0
吳建豪,1978-08-07,V.DUBB,M,男艺人,2
朱孝天,1979-01-15,None,M,男演员,1
周渝民,1981-06-09,周育民,M,男艺人,1
趙之璧,1973-04-20,小畢,F,女歌手,0
元若藍,1986-05-28,嚴若蘭,F,女歌手,0
宋念宇,1983-11-22,宋念宇,M,男艺人,0
樓心潼,1986-03-02,樓心潼,F,女艺人,0
江晨希,1988-06-22,None,F,女艺人,1
吳瑞婷,1983-02-04,吳瑞婷,None,模特儿,0
錢帥君,1981-07-15,None,F,女艺人,1
邱勝翊,1989-04-14,邱勝翊,M,男艺人,0
邱翊橙,1990-10-10,邱翊橙[1],M,男艺人,0
小杰,1986-09-25,廖允杰,M,男艺人,0
陳綺萱,1980-07-26,None,F,女歌手,0
蔡裴琳,1983-09-22,裴琳,F,女演员,0
GINO,1980-01-30,蔡東威,M,男艺人,0
Kido,1982-06-16,鄭人豪,M,男艺人,0
蕭立揚,1978-11-01,None,M,男艺人,0
黃立成,1972-11-07,Jeff、嘻哈教主、麻吉大哥,M,男歌手,0
楊奇煜,1985-07-05,楊奇煜,M,男艺人,1
威廉,1985-10-07,廖亦崟,M,男艺人,1
劉峻緯,1985-10-15,劉峻緯,M,男艺人,1
琳妲,1994-12-12,林羿禎,F,女艺人,0
凱莉絲,1985-04-08,洪于晴,F,女艺人,0
麻吉弟弟,1990-05-07,麻吉弟弟,None,歌手,1
李玖哲,1980-11-26,李哲玖이철구,M,男歌手,1
藍鈞天,1977-02-19,李鈞天,M,男艺人,1
張淯茜,1983-01-16,淯茜,F,女艺人,1
林艾璇,1989-11-14,林艾璇,F,女艺人,0
洪詩,1988-01-07,洪詩涵,F,女艺人,0
吳昀廷,1990-01-07,吳昀廷,F,女艺人,0
庭瑄,1990-03-19,陳庭瑄,F,女艺人,0
劉宇珊,1991-06-08,劉宇珊,F,女艺人,0
全心平,2000-11-12,None,F,女艺人,0
郭嘉誼,2001-04-11,老闆 朵朵,F,女艺人,0
彭聖恩,2001-05-15,彭董,F,女艺人,0
許巧瑜,2001-09-05,None,F,女艺人,0
羅珮含,2002-07-09,阿含/幫主/+9含,F,女艺人,0
陳以芯,2002-10-11,小芯/阿芯/忙內,F,女艺人,0
金志遙,1977-10-28,林大晉,M,男艺人,0
吳秉洛,1985-12-04,大Q、秉洛,M,男歌手,0
林采欣,1986-05-20,林貝芳,F,女歌手,0
米非,1985-09-26,陳玫希,F,女歌手,0
林珈安,1990-12-13,林珈安,F,女歌手,1
任家萱Selina,1981-10-31,任家萱,F,女艺人,2
田馥甄Hebe,1983-03-30,田馥甄,F,女艺人,0
陳嘉樺Ella,1981-06-18,陳嘉樺,F,女艺人,1
佐藤,1979-11-13,佐藤 麻衣,F,女艺人,1
千田愛紗,1982-11-08,千田 愛紗,F,女艺人,2
劉品言,1988-08-08,劉品言,F,女艺人,0
周定緯,1987-08-11,茱蒂、周定Rain、星光舞王、5%哥,M,男歌手,0
李杰宇,1989-02-10,MRT、杰西,M,男歌手,0
洪天祥,1975-08-05,None,M,男歌手,0
陳宇風,1973-09-30,陳騰龍,M,男艺人,1
陳熙鋒,1973-09-30,陳躍虎→陳熙峰,M,男艺人,1
上山博樹,1962-10-07,Boss,M,男歌手,1
林星潼,1985-06-03,林星潼,F,女艺人,0
徐凱希,1988-04-28,徐亦晴,F,女艺人,0
陳斯亞,1993-01-03,鄭羽婷[2][3][4] → 陳斯亞,F,女艺人,0
篠崎泫,1993-06-25,篠崎翎榕,F,女艺人,0
林怡廷,1995-09-11,牙牙 、小豬,F,女艺人,0
劉冠佑,1973-07-28,"
劉浩明（原名）
劉諺明（1999－2004年）
劉冠佑（2004年至今）
",None,音乐家,1
林佑威,1977-11-24,爸比,M,男演员,2
李威,1980-07-09,李翊瑋,M,男艺人,0
王以路,1978-04-14,小路,F,女演员,1
禹安,1978-01-17,張芷唯,F,女艺人,2
王樂妍,1986-07-08,王心如,F,女艺人,0
羅文裕,1976-02-09,None,M,男歌手,1
歐得洋,1969-10-12,沈益嶒,M,男歌手,0
安娜·李,1984-04-22,李宗望,F,女艺人,0
邵庭,1985-11-25,鄧少婷,F,女艺人,1
許蓁蓁,1986-05-01,None,F,女艺人,0
范曉萱,1977-02-27,范曉萱,None,歌手,0
韓宜邦,1981-02-25,韓宜邦,M,男演员,0
林埈永,1978-01-08,綠茶、不行哥、trouble哥、綠茶俠、茶茶,M,男艺人,0
袁惟仁,1968-06-24,袁惟仁,M,男歌手,2
張懷秋,1982-11-22,懷秋,M,男艺人,0
薛仕凌,1983-06-10,薛仕凌,M,男歌手,0
坂本宗華,1980-06-26,坂本宗華,M,男艺人,1
吴奇隆,1970-10-31,霹靂虎四爺,M,男艺人,3
陳志朋,1971-05-19,小帥虎、小帥、千面男爵,M,男艺人,0
蘇有朋,1973-09-11,乖乖虎、小乖、大頭、社長、朋朋,M,男艺人,0
蔡雨倫,1968-11-16,蔡雨倫,F,女歌手,0
徐若瑄,1975-03-19,徐淑娟,F,女艺人,1
張惠春,1977-07-07,Kulilay· Saya,F,女艺人,2
蔣偉文,1972-03-14,蔣偉文(改名前)蔣緯承(改名後),M,男艺人,1
艾力克斯,1972-10-29,鈕詩貽,M,男艺人,1
江俊翰,1971-12-19,廖文豪,M,男艺人,0
是元介,1983-10-31,None,M,男艺人,0
陳信宏,1975-12-06,阿信,M,男歌手,0
溫尚翊,1976-11-28,怪獸,None,音乐家,1
蔡昇晏,1977-04-25,瑪莎,None,音乐家,1
石錦航,1975-12-11,"
石錦航（原名）
石航偉（2001年曾改名）
",None,音乐家,1
陳零九,1987-04-09,陳志豪,M,男艺人,0
邱鋒澤,1988-10-31,邱殷龍,M,男艺人,0
黃偉晉,1990-03-23,鋼盔小王子 大嬸晉 wei島主,M,男艺人,0
賴晏駒,1991-01-16,賴杰宏,M,男艺人,0
劉穎嶸,1982-07-29,Ying-Joy、小穎、拳四郎,M,男艺人,0
蕭秉治,1987-02-09,萧宇廷,M,男歌手,0
鼓鼓,1984-04-28,呂思緯乛呂國緯,M,男歌手,0
范逸臣,1978-11-03,Lingas,M,男歌手,0
黃冠龍,1980-06-14,None,None,演奏者,1
劉軒蓁,1985-05-30,Ray、劉先生,F,女艺人,0
黃少谷,1981-10-24,黃牛、少少,M,男艺人,1
林奕勳,1982-10-01,海狗,M,男艺人,1
陳德修,1982-07-15,脩、脩大師、脩帥、小脩脩、脩老大,M,男艺人,0
汪東城,1981-08-24,汪東城,M,男艺人,0
可樂王,1971-02-21,None,None,None,0
羅志祥,1979-07-30,小豬、主任,M,男艺人,0
歐漢聲,1979-07-04,歐陽漢聲,M,男艺人,2
趙小僑,1979-11-15,趙小僑,F,女艺人,1
賴薇如,1984-12-30,賴薇如,F,女艺人,0
陳喬恩,1979-04-04,陳喬恩,F,女演员,1
王宇婕,1981-05-27,呂佳菱,F,女演员,0
魏如萱,1982-10-10,娃娃、國王、如仙、不量少女、重點美人,F,女歌手,1
