,姓名,生日,aka,性別,職業,婚姻狀態
184,趙春山,1946-07-20,None,None,政治人物,0
185,邱奕勝,1960-11-15,None,男,政治人物,0
186,鄭戴麗香,1954-08-22,None,女,政治人物,0
187,金瑞龍,1969-07-15,None,男,政治人物,1
188,陳姿伶,1960-01-15,None,女,政治人物,1
189,陳建年,1947-10-10,None,男,政治人物,1
190,陳惠敏,1958-09-12,None,男,政治人物,0
191,陳文政,1974-11-05,None,男,政治人物,0
192,陳錦祥,1959-07-07,None,男,政治人物,0
193,陸淑美,1962-11-25,None,女,政治人物,0
194,魏嘉賢,1978-07-13,None,男,政治人物,0
195,黃仁,1962-04-13,None,男,政治人物,0
196,馬英九,1950-07-13,Mayaw Ma,男,政治人物,1
197,吳敦義,1948-01-30,None,男,政治人物,1
198,趙麗雲,1952-08-08,None,女,政治人物,1
199,鄭汝芬,1957-02-16,None,女,政治人物,1
200,蔡令怡,1952-11-06,None,女,政治人物,1
201,鄭麗文,1969-11-12,None,女,政治人物,1
202,陳儀君,1973-07-02,None,女,政治人物,0
203,陳玉珍,1973-10-29,None,女,政治人物,0
204,陳美雅,1970-11-12,None,女,政治人物,1
205,陳麗娜,1970-03-10,None,女,政治人物,0
206,江怡臻,1982-11-07,None,女,政治人物,0
207,周美青,1952-11-30,None,女,政治人物,1
208,朱鳳芝,1948-06-27,None,女,政治人物,0
210,蔡依珊,1979-05-22,None,None,政治人物,1
211,陳以真,1977-01-25,None,女,政治人物,1
212,陳麗玲,1969-07-27,None,女,政治人物,1
213,洪麗萍,1968-08-30,None,女,政治人物,0
214,侯彩鳳,1952-12-25,None,女,政治人物,0
215,侯惠仙,1958-08-29,None,女,政治人物,0
216,謝淑亞,1960-06-28,None,女,政治人物,1
217,謝衣鳯,1977-07-12,None,女,政治人物,0
218,徐巧芯,1989-11-18,None,女,政治人物,1
219,徐榛蔚,1968-10-12,None,女,政治人物,3
220,許淑華,1975-10-15,None,女,政治人物,0
221,黃敏惠,1959-01-20,None,女,政治人物,1
222,黃桂蘭,1957-02-25,None,女,政治人物,0
223,黃韻涵,1984-01-04,None,女,政治人物,0
224,洪佳君,1977-06-28,None,女,政治人物,1
225,江惠貞,1963-01-28,None,女,政治人物,1
226,江綺雯,1949-03-20,None,女,政治人物,0
227,耿葳,1990-10-31,None,女,政治人物,0
228,李佳芬,1963-08-10,None,女,政治人物,1
229,李貴敏,1959-12-11,None,女,政治人物,0
230,雷倩,1958-11-28,None,女,政治人物,1
231,李佳霏,1976-12-23,None,女,政治人物,0
232,李眉蓁,1979-03-21,None,女,政治人物,1
233,廖婉汝,1960-01-27,None,女,政治人物,0
234,林奕華,1968-10-21,None,女,政治人物,0
235,林燕祝,1965-01-14,None,女,政治人物,0
236,劉陳昭玲,1956-06-18,None,女,政治人物,1
237,劉美芳,1978-12-07,None,女,政治人物,0
238,李永萍,1964-07-23,None,女,政治人物,0
239,呂玉玲,1961-06-19,None,女,政治人物,1
240,林姿妙,1952-01-28,None,女,政治人物,1
241,羅淑蕾,1952-11-28,None,女,政治人物,0
242,連惠心,1967-08-01,None,女,政治人物,1
243,馬瑋國,1983-12-31,小馬,女,政治人物,0
244,馬文君,1965-12-01,None,女,政治人物,1
245,穆閩珠,1949-08-15,None,女,政治人物,2
246,錢薇娟,1971-03-08,None,None,政治人物,0
247,邱淑媞,1962-10-17,None,None,政治人物,1
248,秦慧珠,1955-03-27,None,女,政治人物,1
249,饒慶鈴,1969-11-23,None,None,政治人物,1
250,邵曉鈴,1950-11-19,邵曉玲、邵小鈴,None,政治人物,1
251,沈智慧,1957-09-16,None,女,政治人物,0
252,史亞平,1962-07-27,None,女,政治人物,1
253,蕭金蘭,1948-08-26,None,女,政治人物,0
254,唐雅君,1960-03-27,None,女,政治人物,0
255,蔡淑君,1970-03-05,None,女,政治人物,1
256,曾麗燕,1953-02-20,None,女,政治人物,1
257,童惠珍,1965-06-16,None,女,政治人物,0
258,顏莉敏,1984-09-07,None,女,政治人物,0
259,應曉薇,1964-09-14,應秀萍,女,政治人物,0
260,侯佳齡,1975-08-05,None,女,政治人物,0
261,李惠蘭,1966-08-09,None,女,政治人物,0
262,林京玲,1990-08-01,None,女性,政治人物,0
263,王桂芸,1952-10-12,None,女,政治人物,0
264,王鴻薇,1964-07-10,None,女,政治人物,1
265,許謹如,1971-12-29,None,女,政治人物,0
266,賴素如,1964-03-23,None,女,政治人物,0
267,邱素蘭,1954-02-08,None,女,政治人物,0
268,鍾沛君,1984-12-10,None,女,政治人物,0
269,黃璉華,1953-01-28,None,女,政治人物,0
270,曹爾忠,1954-08-24,None,男,政治人物,0
271,張顯耀,1963-11-06,None,男,政治人物,0
272,陳鴻基,1950-09-30,None,男,政治人物,0
273,陳學聖,1957-09-28,None,男,政治人物,1
274,陳宏昌,1956-03-02,None,男,政治人物,0
275,陳宜民,1956-12-28,None,男,政治人物,0
276,陳志彬,1949-04-01,None,男,政治人物,0
277,陳朝容,1956-02-25,None,男,政治人物,1
278,陳超明,1951-12-17,None,男,政治人物,0
279,陳雪生,1952-01-01,None,男,政治人物,1
280,蔣萬安,1978-12-26,None,男,政治人物,1
281,簡東明,1951-06-04,None,男,政治人物,0
282,鐘紹和,1956-01-11,None,男,政治人物,0
283,蔡勝邦,1946-10-23,None,男,政治人物,0
284,傅崐萁,1962-05-08,None,男,政治人物,1
285,謝國樑,1975-10-05,None,男,政治人物,1
286,徐耀昌,1955-06-30,None,男,政治人物,0
287,許毓仁,1978-07-19,None,男,政治人物,0
288,黃昭順,1953-08-22,None,女,政治人物,2
289,黃義交,1953-03-12,None,男,政治人物,0
290,鄭天財,1956-12-16,None,男,政治人物,0
291,孔文吉,1957-10-18,None,男,政治人物,1
292,柯志恩,1962-04-29,None,女,政治人物,0
293,李慶安,1959-01-17,None,女,政治人物,1
294,廖國棟,1955-01-08,None,男,政治人物,1
295,林麗蟬,1977-10-02,None,女,政治人物,1
296,林德福,1953-10-23,None,男,政治人物,1
297,林志嘉,1958-03-31,None,男,政治人物,1
298,林春德,1947-07-05,None,男,政治人物,0
299,林正二,1952-01-02,None,男,政治人物,0
300,林為洲,1961-07-25,None,男,政治人物,0
301,林益世,1968-08-19,None,男,政治人物,1
302,李嘉進,1957-03-06,None,男,政治人物,0
303,呂學樟,1952-11-05,None,男,政治人物,0
304,李彥秀,1971-12-18,None,女,政治人物,1
305,李慶華,1948-12-03,None,男,政治人物,0
306,李鴻鈞,1959-05-11,None,男,政治人物,0
307,林宏宗,1951-10-26,None,男,政治人物,0
308,林郁方,1951-03-15,None,男,政治人物,0
309,赖士葆,1951-06-20,None,男,政治人物,0
310,邱毅,1956-05-08,None,男,政治人物,2
311,全文盛,1958-11-23,None,男,政治人物,0
312,孫大千,1969-08-28,None,男,政治人物,3
313,王育敏,1971-04-11,None,女,政治人物,1
314,吳清池,1949-05-20,None,男,政治人物,0
315,曾華德,1953-05-15,None,男,政治人物,1
316,鄭金玲,1946-08-06,None,女,政治人物,1
317,周錫瑋,1958-03-11,None,男,政治人物,1
318,張碩文,1971-05-07,None,男,政治人物,1
319,李和順,1952-06-22,None,男,政治人物,0
320,王令麟,1955-02-23,None,男,政治人物,1
321,瓦歷斯·貝林,1952-08-08,蔡貴聰,男,政治人物,0
322,章仁香,1953-06-27,None,女,政治人物,0
323,陳振盛,1950-01-25,None,男,政治人物,0
324,陳清寶,1955-12-09,None,男,政治人物,0
