,姓名,生日,aka,性別,職業,婚姻狀態
303,林正杰,1952-11-08,None,男,政治人物,0
304,林淑芬,1973-01-17,None,女,政治人物,0
305,林濁水,1947-03-25,None,男,政治人物,0
306,林重謨,1947-04-02,None,男,政治人物,0
307,段宜康,1963-11-14,None,男,政治人物,1
308,江永昌,1969-10-22,None,男,政治人物,0
309,王兆釧,1946-11-09,None,男,政治人物,0
310,羅文嘉,1966-01-01,None,男,政治人物,1
311,羅致政,1964-11-17,None,男,政治人物,1
312,莊碩漢,1955-10-24,None,男,政治人物,0
313,蕭裕珍,1956-08-06,None,女,政治人物,0
314,蘇貞昌,2005-01-15,None,None,政治人物,1
315,謝長廷,1946-05-18,None,男,政治人物,1
316,賴勁麟,1962-01-27,None,男,政治人物,1
317,郭正亮,1961-06-24,None,男,政治人物,0
318,陳婉真,1950-06-10,None,女,政治人物,0
319,陳景峻,1956-06-15,None,男,政治人物,1
320,陳朝龍,1953-10-01,None,男,政治人物,0
321,黃劍輝,1965-05-20,None,男,政治人物,0
322,徐國勇,1958-06-07,None,男,政治人物,1
323,鄭運鵬,1973-06-02,None,男,政治人物,0
324,李俊毅,1959-03-20,None,男,政治人物,0
325,葉宜津,1960-08-21,None,女,政治人物,1
326,蘇煥智,1956-07-20,None,男,政治人物,0
327,許添財,1951-01-23,None,None,政治人物,1
328,郭國文,1967-03-11,None,男,政治人物,1
329,魏耀乾,1950-02-05,None,男,政治人物,0
330,洪奇昌,1951-08-23,None,男,政治人物,1
331,李俊俋,1965-07-06,None,男,政治人物,1
332,林國慶,1965-11-02,None,男,政治人物,0
333,蔡啟芳,1954-07-12,None,男,政治人物,1
334,蔡式淵,1949-01-29,None,男,政治人物,0
335,陳明文,1954-05-13,None,None,政治人物,1
336,李進勇,1951-08-01,None,男,政治人物,1
337,蔡適應,1973-06-14,None,男,政治人物,0
338,陳歐珀,1962-10-12,None,男,政治人物,1
339,陳金德,1961-09-26,None,男,政治人物,2
340,曹啟鴻,1948-03-01,None,男,政治人物,1
341,潘孟安,1963-08-15,None,男,政治人物,0
342,鄭朝明,1952-03-09,None,男,政治人物,0
343,洪宗熠,1969-01-27,None,男,政治人物,0
344,翁金珠,1947-01-31,None,女,政治人物,1
345,魏明谷,1963-03-18,None,男,政治人物,0
346,林右昌,1971-03-10,None,男,政治人物,1
347,陳俞融,1990-10-04,None,女,政治人物,0
348,張之豪,1981-02-25,None,None,政治人物,0
349,丁允恭,1976-05-31,None,男,政治人物,1
350,俄鄧·殷艾,1965-02-24,None,男,政治人物,0
351,范綱皓,1989-07-20,None,男,政治人物,0
352,林瑞圖,1956-06-10,None,男,政治人物,0
353,顏建發,1959-07-21,None,男,政治人物,0
354,廖泰翔,1987-06-27,None,男,政治人物,1
355,李慶鋒,1967-05-18,None,男,政治人物,0
356,洪村銘,1978-11-22,None,男,政治人物,0
357,蔡沐霖,1983-04-18,None,男,政治人物,0
358,黃守達,1988-10-13,None,None,政治人物,0
359,杜文卿,1954-10-30,None,男,政治人物,0
360,李問,1989-03-04,None,男,政治人物,0
361,林為洲,1961-07-25,None,男,政治人物,0
362,李宇翔,1992-06-04,None,男,政治人物,1
363,陳建名,1985-07-20,None,男,政治人物,0
